ID,TrueClass,Predicted,Distance
U01,Linear,Linear,0.765765001332713
U02,Linear,Linear,1.2603575678592378
U03,Linear,Linear,0.8512711126815882
U04,Linear,Linear,1.0773048534589675
U05,Linear,Linear,0.742615326690646
U06,Linear,Linear,0.8416618593103091
U07,Linear,Linear,0.7642638693642293
U08,Linear,Linear,1.020646792264911
U09,Linear,Linear,0.6049359085331145
U10,Linear,Linear,0.6815382264570617
U11,Linear,Linear,1.0912231068643201
U12,Linear,Linear,1.3063006229285803
U13,Star,Star,1.1560681634195955
U14,Star,Star,0.9840570168810384
U15,Star,Star,1.2638110833242435
U16,Star,Star,1.1424476401797887
U17,Star,Star,1.3567667751668375
U18,Star,Star,0.9870856726410137
U19,Star,Star,0.7459776590604946
U20,Star,Star,1.055849155539356
U21,Star,Star,1.0942881505170137
U22,Star,Star,1.1145053874677724
U23,Star,Star,1.0540180493230746
U24,Star,Star,1.1649632832356507
U25,H-shaped,H-shaped,1.1134790816550986
U26,H-shaped,H-shaped,0.9196313980027676
U27,H-shaped,H-shaped,0.4955302591040798
U28,H-shaped,H-shaped,0.6548143461400643
U29,H-shaped,H-shaped,0.6528379729811413
U30,H-shaped,H-shaped,1.1641049988937917
U31,H-shaped,H-shaped,0.6533369807285982
U32,H-shaped,H-shaped,0.6392623901499439
U33,H-shaped,H-shaped,0.5705708671134109
U34,H-shaped,H-shaped,0.516754962912999
U35,H-shaped,H-shaped,1.2445846917388526
U36,H-shaped,H-shaped,1.1034821571126465
U37,Linear/H-shaped,Linear,1.2371218587861876
U38,Star/H-shaped,Star,0.8908732992682146
U39,Linear/Star,Linear,1.4929924929191707
U40,Star/H-shaped,Star,0.8908732992682146
